epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3606,1.20619,2.38299,1.41172,0.16906,0.24758,0.07617,0.02925,1.52569,6.19319,1.82518,0.000543319,0.000543319,0.000543319
2,30.5358,1.60974,2.42207,1.71239,0.00677,0.51691,0.00517,0.0021,2.05811,inf,8.43451,0.00108811,0.00108811,0.00108811
3,45.019,1.81723,2.60215,1.86993,0.00171,0.17633,0.0012,0.00029,3.78092,inf,26.7147,0.00162189,0.00162189,0.00162189
4,59.5128,1.81861,2.4563,1.8909,0.406,0.13285,0.05583,0.0229,3.12537,10.1387,4.16779,0.00161749,0.00161749,0.00161749
5,74.4447,1.78869,2.39952,1.85412,0.08978,0.27536,0.06839,0.03719,2.26037,5.24877,2.49647,0.00160099,0.00160099,0.00160099
6,92.6949,1.76328,2.31205,1.82012,0.16127,0.21618,0.13165,0.05832,1.93304,7.85879,2.02875,0.00158448,0.00158448,0.00158448
7,107.983,1.64378,2.14024,1.69491,0.0969,0.32729,0.03496,0.01451,1.79363,19.6563,1.81467,0.00156798,0.00156798,0.00156798
8,123.626,1.61733,2.03047,1.68947,0.37416,0.27262,0.26678,0.12253,1.56584,2.92132,1.7384,0.00155148,0.00155148,0.00155148
9,139.285,1.61459,2.07932,1.71925,0.34714,0.45773,0.27673,0.15933,1.3214,3.24608,1.47137,0.00153497,0.00153497,0.00153497
10,153.772,1.52115,1.92232,1.63786,0.4503,0.5805,0.43783,0.25421,1.17848,2.48869,1.38571,0.00151847,0.00151847,0.00151847
11,168.371,1.47987,1.88632,1.61064,0.10336,0.25,0.10549,0.05549,1.70127,4.50417,1.75712,0.00150197,0.00150197,0.00150197
12,182.894,1.46107,1.79698,1.58584,0.52969,0.44208,0.46118,0.29594,1.11054,2.1018,1.33984,0.00148546,0.00148546,0.00148546
13,197.437,1.42347,1.80785,1.5781,0.63499,0.46739,0.46402,0.3097,1.2074,1.60029,1.3342,0.00146896,0.00146896,0.00146896
14,212.132,1.36451,1.69001,1.52098,0.51627,0.55435,0.50711,0.30224,1.23469,1.70099,1.43587,0.00145246,0.00145246,0.00145246
15,226.689,1.4029,1.73892,1.55857,0.58848,0.58518,0.55276,0.33665,1.23617,1.91786,1.37159,0.00143595,0.00143595,0.00143595
16,241.202,1.35796,1.66465,1.52885,0.50892,0.45902,0.46747,0.27785,1.14524,1.95353,1.36612,0.00141945,0.00141945,0.00141945
17,255.682,1.3595,1.60536,1.52548,0.48384,0.5409,0.46429,0.26621,1.17993,2.32293,1.32959,0.00140295,0.00140295,0.00140295
18,270.11,1.31173,1.55498,1.49586,0.62753,0.52899,0.6056,0.35905,1.18764,1.47147,1.36592,0.00138644,0.00138644,0.00138644
19,284.644,1.26983,1.50107,1.46905,0.84834,0.4382,0.6123,0.37585,1.16082,1.5487,1.33304,0.00136994,0.00136994,0.00136994
20,299.099,1.24668,1.46176,1.44535,0.35561,0.56039,0.51453,0.31677,1.11321,1.61588,1.33437,0.00135344,0.00135344,0.00135344
21,313.546,1.29612,1.49109,1.46804,0.44823,0.55676,0.5526,0.29051,1.48069,1.90961,1.48071,0.00133693,0.00133693,0.00133693
22,327.886,1.23621,1.43028,1.41143,0.82432,0.52899,0.64221,0.37616,1.00722,1.57448,1.25777,0.00132043,0.00132043,0.00132043
23,342.329,1.2185,1.33129,1.4193,0.94356,0.55676,0.77048,0.44688,1.06673,1.12399,1.28027,0.00130393,0.00130393,0.00130393
24,356.78,1.17515,1.35758,1.37878,0.6191,0.64372,0.63358,0.39039,1.03026,1.15363,1.21633,0.00128742,0.00128742,0.00128742
25,371.255,1.17387,1.30857,1.38468,0.89798,0.6099,0.71165,0.46255,1.09526,1.52251,1.26335,0.00127092,0.00127092,0.00127092
26,385.756,1.20046,1.35016,1.4044,0.62823,0.52899,0.60626,0.33464,1.19203,1.70802,1.37651,0.00125442,0.00125442,0.00125442
27,400.192,1.15807,1.274,1.36782,0.66286,0.65431,0.67908,0.46608,0.95121,1.23823,1.17618,0.00123791,0.00123791,0.00123791
28,414.633,1.12605,1.24913,1.35155,0.68812,0.65985,0.68484,0.42627,0.9005,1.13093,1.1661,0.00122141,0.00122141,0.00122141
29,429.055,1.11923,1.2082,1.35769,0.80825,0.63148,0.73873,0.4583,0.91157,1.19348,1.17368,0.00120491,0.00120491,0.00120491
30,443.415,1.13141,1.28214,1.35354,0.73763,0.67754,0.71015,0.42929,1.06263,1.05779,1.3089,0.0011884,0.0011884,0.0011884
31,458.012,1.09937,1.20951,1.32131,0.82024,0.50121,0.64924,0.45208,0.99453,1.23035,1.2333,0.0011719,0.0011719,0.0011719
32,472.396,1.07169,1.12552,1.29485,0.77211,0.67337,0.7289,0.49216,0.95414,1.20248,1.20843,0.0011554,0.0011554,0.0011554
